,Company,Major,City,State,Accept,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
18,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay,11.373143455232443,15.489825614238915
19,ELANCO,CHE BE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
20,WHITE CONSTRUCTION,CE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
21,ELI LILLY,CHE,Clinton,IN,R,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion,12.744833899746697,106.29903329006645
22,TRW AUTOMOTIVE,ME,Marshall,IL,A,"('Marshall', 'IL')",39.3914252,-87.6936384,Clark,20.290983179536383,-162.60419131076748
23,DONCASTERS,ME,Paris,IL,O,"('Paris', 'IL')",39.611146,-87.6961374,Edgar,21.462158514378274,154.8954931858411
24,DIESEL RADIATOR,ME,Melrose,IL,A,"('Melrose', 'IL')",39.2233718,-87.7641957,Clark,29.1400626215027,-142.7117207794747
25,MEROM POWER PLANT,ME,Merom,IN,A,"('Merom', 'IN')",39.0564308,-87.5675234,Sullivan,31.858111095962496,-113.48066138812425
26,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
27,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
28,BOSTON SCIENTIFIC,ME,Spencer,IN,A,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
29,BOSTON SCIENTIFIC,BE,Spencer,IN,R,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
30,BOSTON SCIENTIFIC,BE,Spencer,IN,A,"('Spencer', 'IN')",39.2867117,-86.7625058,Owen,33.13164100577265,-23.554675750759422
31,MARATHON OIL,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
32,MARATHON OIL,CHE,Robinson,IL,A,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
33,MARATHON OIL,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford,39.37762156934039,-123.81512241512819
34,NUCOR STEEL,EE,Crawfordsville,IN,O,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery,45.70477427094755,58.14174488960068
35,ACUITY LIGHTING,ME,Crawfordsville,IN,R,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery,45.70477427094755,58.14174488960068
36,DUKE ENERGY,EE,Edwardsport,IN,R,"('Edwardsport', 'IN')",38.811991,-87.2522367,Knox,46.30671775098907,-84.76312101034199
37,DUKE ENERGY,EE,Edwardsport,IN,A,"('Edwardsport', 'IN')",38.811991,-87.2522367,Knox,46.30671775098907,-84.76312101034199
38,DUKE ENERGY,EE,Edwardsport,IN,R,"('Edwardsport', 'IN')",38.811991,-87.2522367,Knox,46.30671775098907,-84.76312101034199
39,CRANE,OE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
40,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
41,CRANE,OE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
42,NAVSEA,EE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
43,CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
44,CRANE,EE,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
45,CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
46,CRANE,ME,Crane,IN,A,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
47,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin,46.629702087386555,-60.52542259123737
48,THYSSEUN KRUPP,ME,Danville,IL,R,"('Danville', 'IL')",40.124481,-87.6300207,Vermilion,47.257695509657715,109.53136025903481
49,COOK MEDICAL,BE CS,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
50,COOK MEDICAL,CHE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
51,COOK MEDICAL,ME,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
52,TECHNOLOGY SERVICE CORP,EE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
53,PERFORMANCE VALIDATION,BE,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
54,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
55,NOVONICS,CPE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
56,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
57,VECTREN ENERGY,CE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
58,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
59,STATE FARM,MA,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
60,BAXTER PHARM,CHE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
61,COOK MEDICAL,BE,Bloomington,IN,A,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe,48.144628816148106,-26.55821332385736
62,"FLOSOURCE, INC.",ME,Martinsville,IN,A,"('Martinsville', 'IN')",39.42782529999999,-86.4283279,Morgan,48.24933123869992,-3.982519831946569
63,NICEPAK,CE,Mooresville,IN,O,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan,51.75658529788737,10.52328742079012
