,Company,Major,City,State,Accept,CityState,lats,lons,County
71,GE,ME,Louisville,KY,A,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
72,GE,EE,Charlotte,NC,A,"('Charlotte', 'NC')",35.2270869,-80.8431267,Mecklenburg
73,GENERAL MOTORS,OE,Warren,MI,A,"('Warren', 'MI')",42.49299999999999,-83.02819699999999,Macomb
74,GOOGLE,CS,Seattle,WA,A,"('Seattle', 'WA')",47.6062095,-122.3320708,King
75,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay
76,GREAT DANE TRAILERS,ME,Brazil,IN,A,"('Brazil', 'IN')",39.523652,-87.1250154,Clay
77,GROUPON,CS,Chicago,IL,A,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
78,HAZEN & SAWYER,EE,Raleigh,NC,A,"('Raleigh', 'NC')",35.7795897,-78.6381787,Wake
79,HONDA MANUFACTURING OF INDIANA,ME,Greensburg,IN,A,"('Greensburg', 'IN')",39.3372722,-85.483581,Decatur
80,HYDROGEAR,ME,Sullivan,IL,A,"('Sullivan', 'IL')",39.599479,-88.6078392,Moultrie
81,INDESIGN,CPE,Indianapolis,IN,A,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
82,ARCHER DANIELS MIDLAND,ME,Decatur,IL,O,"('Decatur', 'IL')",39.8403147,-88.9548001,Macon
83,"AG&E ASSOCIATES, P.L.L.C.",CE,Dallas,TX,O,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
84,ALLEGIENT TECHNOLOGIES,CPE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
85,ALLISON TRANSMISSION,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
86,ALLISON TRANSMISSION,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
87,ALLSTATE INSURANCE,CS,Chicago,IL,O,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
88,ANCHOR QEA,CE,Seattle,WA,O,"('Seattle', 'WA')",47.6062095,-122.3320708,King
89,ARCELOR MITTAL,CE,Burns Harbor,IN,O,"('Burns Harbor', 'IN')",41.6258708,-87.1333676,Porter
90,AVALON CONSULTING,CS,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
91,BALEMASTER,ME,Crown Point,IN,O,"('Crown Point', 'IN')",41.4169806,-87.3653135,Lake
92,BASTIAN SOLUTIONS,ME,St. Louis,MO,O,"('St. Louis', 'MO')",38.6270025,-90.19940419999999,St Louis
93,BUTLER AMERICA,ME,West Lafayette,IN,O,"('West Lafayette', 'IN')",40.4258686,-86.90806549999999,Tippecanoe
94,CARDNER DENVER WATER JETTING SYSTEMS,ME,Houston,TX,O,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
95,CATERPILLAR,PHY,Peoria,IL,O,"('Peoria', 'IL')",40.6936488,-89.5889864,Peoria
96,CHRYSLER,ME,Trenton,MI,O,"('Trenton', 'MI')",42.1394858,-83.1782587,Wayne
97,CIVIL AND ENVIROMENTAL CONSULTANTS,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
98,COOK MEDICAL,BE CS,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
99,CORNERSTONE CONTROLS,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
100,CORNERSTONE CONTROLS,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
101,DAJAC,CPE,Carmel,IN,O,"('Carmel', 'IN')",39.978371,-86.1180435,Hamilton
102,DART SOLO CORPORATION,CHE,Mason,MI,O,"('Mason', 'MI')",42.5792027,-84.4435845,Ingham
103,DONCASTERS,ME,Paris,IL,O,"('Paris', 'IL')",39.611146,-87.6961374,Edgar
104,ELANCO,CHE BE,Clinton,IN,O,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion
105,EPIC SYSTEMS,BE,Madison,WI,O,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
106,FRITO LAY,ME,Frankfort,IN,O,"('Frankfort', 'IN')",40.2794809,-86.5108355,Clinton
107,FRITO LAY,CE,Bakersfield,CA,O,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
108,GE,ME EE,Louisville,KY,O,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
109,GENTEX,CHE,Zeeland,MI,O,"('Zeeland', 'MI')",42.8125246,-86.01865099999999,Ottawa
110,GPD,CE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
111,HAZEN & SAWYER,EE,Raleigh,NC,O,"('Raleigh', 'NC')",35.7795897,-78.6381787,Wake
112,HOSPIRA,CHE,Rocky Mt.,NC,O,"('Rocky Mt.', 'NC')",35.9382103,-77.7905339,Edgecombe
113,ACE TECHNOLOGY,CHE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
114,ACE TECHNOLOGY,EE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
115,ARCHER DANIELS MIDLAND,CHE,Camanche,IA,R,"('Camanche', 'IA')",41.7853085,-90.2529064,Clinton
116,ARCHER DANIELS MIDLAND,CHE,Camanche,IA,R,"('Camanche', 'IA')",41.7853085,-90.2529064,Clinton
117,ALCOA,EE,Evansville,IN,R,"('Evansville', 'IN')",37.9715592,-87.5710898,Vanderburgh
118,ALLEGIENT TECHNOLOGIES,CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
119,ALLEGIENT TECHNOLOGIES,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
120,ALLISON TRANSMISSION,EE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
121,ALLSTATE INSURANCE,CS,Chicago,IL,R,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
122,ANGIES LIST,SE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
123,APPARATUS,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
124,APPARATUS,BE CS,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
