,City,State,Major,Salary,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
62,Brownsburg,IN,ME,53000,"('Brownsburg', 'IN')",39.8433769,-86.39777350000001,Hendricks,55.5860511357713,27.142439617529337
63,Bedford,IN,CPE,63000,"('Bedford', 'IN')",38.8611619,-86.4872149,Lawrence,62.16283003944438,-43.1434543247299
64,Champaign,IL,BE,50000,"('Champaign', 'IL')",40.1164204,-88.2433829,Champaign,65.39063555478558,137.47227235935884
65,Indianapolis,IN,CE,54000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
66,Indianapolis,IN,CE,54000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
67,Indianapolis,IN,EE,56500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
68,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
69,Indianapolis,IN,CE,40000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
70,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
71,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
72,Indianapolis,IN,CS,62400,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
73,Indianapolis,IN,BE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
74,Indianapolis,IN,SE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
75,Indianapolis,IN,BE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
76,Indianapolis,IN,ME,57500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
77,Indianapolis,IN,CPE,57700,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
78,Indianapolis,IN,ME,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
79,Indianapolis,IN,CS,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
80,Indianapolis,IN,SE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
81,Indianapolis,IN,CS,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
82,Indianapolis,IN,CS,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
83,Indianapolis,IN,SE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
84,Indianapolis,IN,CS,75000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
85,Indianapolis,IN,CE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
86,Indianapolis,IN,CE,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
87,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
88,Indianapolis,IN,CE,54000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
89,Indianapolis,IN,CE,47800,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
90,Indianapolis,IN,CHE,50086,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
91,Indianapolis,IN,CS,65500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
92,Indianapolis,IN,EE,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
93,Indianapolis,IN,SE,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
94,Indianapolis,IN,CE,43000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
95,Indianapolis,IN,CPE,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
96,Indianapolis,IN,CHE,56500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
97,Indianapolis,IN,BE,45000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
98,Indianapolis,IN,BE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
99,Indianapolis,IN,BE,63500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
100,Indianapolis,IN,ME,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
101,Indianapolis,IN,ME,66000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
102,Indianapolis,IN,ME,64600,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
103,Indianapolis,IN,ME,64500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
104,Indianapolis,IN,ME,64600,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
105,Indianapolis,IN,CE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
106,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
107,Indianapolis,IN,CE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
