,City,State,Major,Salary,CityState,lats,lons,County
99,Indianapolis,IN,SE,72000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
100,Clinton,IN,CHE BE,68000,"('Clinton', 'IN')",39.6569817,-87.3980741,Vermillion
101,Indianapolis,IN,SE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
102,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
103,Indianapolis,IN,CHE,68000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
104,Indianapolis,IN,SE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
105,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
106,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
107,Petaluma,CA,CS,81000,"('Petaluma', 'CA')",38.232417,-122.6366524,Sonoma
108,Redmond,WA,SE,82000,"('Redmond', 'WA')",47.6739881,-122.121512,King
109,Madison,WI,BE,62000,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
110,Madison,WI,CS,70000,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
111,Madison,WI,SE,90000,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
112,Madison,WI,BE,62000,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
113,Madison,WI,BE,61000,"('Madison', 'WI')",43.0730517,-89.4012302,Dane
114,Gainesville,FL,BE,62000,"('Gainesville', 'FL')",29.6516344,-82.32482619999999,Alachua
115,Bellevue,WA,CS,85000,"('Bellevue', 'WA')",47.610377,-122.2006786,King
116,Baytown,TX,CHE,100300,"('Baytown', 'TX')",29.7355047,-94.97742740000001,Harris
117,Baton Rouge,LA,CHE,98000,"('Baton Rouge', 'LA')",30.4582829,-91.1403196,East Baton Rouge
118,Houston,TX,ME,94000,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
119,Indianapolis,IN,CIVIL,45780,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
120,Southfield,MI,ME,65000,"('Southfield', 'MI')",42.4733688,-83.2218731,Oakland
121,Fishers,IN,EE,61000,"('Fishers', 'IN')",39.9567548,-86.01335,Hamilton
122,Dearborn,MI,ME,63780,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
123,Dearborn,MI,ME,63780,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
124,Dearborn,MI,ME,65500,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
125,Dearborn,MI,EE,63780,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
126,Dearborn,MI,ME,63800,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
127,Indianapolis,IN,EE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
128,Bakersfield,CA,CE,67000,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
129,Bakersfield,CA,BE,67000,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
130,Frankfort,IN,CHE,60000,"('Frankfort', 'IN')",40.2794809,-86.5108355,Clinton
131,Frankfort,IN,ME,60000,"('Frankfort', 'IN')",40.2794809,-86.5108355,Clinton
132,Bakersfield,CA,CE,67000,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
133,Westmont,IL,ME,70000,"('Westmont', 'IL')",41.7958639,-87.9756175,Dupage
134,Chicago,IN,ME,70000,"('Chicago', 'IN')",41.8781136,-87.6297982,Cook
135,Olathe,KS,CS,67000,"('Olathe', 'KS')",38.8813958,-94.81912849999999,Johnson
136,Olathe,KS,EE,67500,"('Olathe', 'KS')",38.8813958,-94.81912849999999,Johnson
137,Louisville,KY,ME,65000,"('Louisville', 'KY')",38.2526647,-85.7584557,Jefferson
